slug,corpus,token_count,vocab_size,single_zm_rmse,piecewise_rmse,step2_rmse,step2_expression,reranked_rmse,beats_single_zm,beats_piecewise,beats_step2,best_start_index,best_nfev,a1,b1,c1,a2,b2,c2,k,w,transition_fraction,tried_count
shakespeare,Complete Works of Shakespeare,988670,24458,0.18443042500644333,0.15718093749841314,0.18285154352815539,"sub[sub[x,1],log[x]]",0.1132760654055252,True,True,True,10,32,22.791711642218292,2.999999999993951,66.95589078915857,22.71281680987549,2.275772569490543,999.9999999999923,245.1799307720734,1.2704441434786304,0.5444976565358106,100
war_and_peace,War and Peace,583368,17445,0.182982301215073,0.14570243509266673,0.18043682215068654,"sub[sub[x,1],log[x]]",0.11975383361263765,True,True,True,58,27,21.974347330567586,2.9999999999999876,56.735662959918834,22.24146230145839,2.285349611105816,999.9999999999999,167.61037197710394,1.3908761280150792,0.5243926046259855,100
moby_dick,Moby Dick,219054,16956,0.16154871217642858,0.1575805240920776,0.16334575772525425,"eml[sub[x,1],eml[x,1]]",0.1187246779643674,True,True,True,77,43,22.36453905308377,2.999999999987845,105.02984015879075,16.411394688329953,1.7192326938957794,999.9999999999475,172.29660444070635,1.1526116535200732,0.5287551939013028,100
king_james_bible,King James Bible,792180,12555,0.18823043086752944,0.1469518147013744,0.1854896711109791,"sub[sub[x,1],log[x]]",0.11583651766338211,True,True,True,44,29,23.089951535222884,2.9999999999966778,73.25209441120697,23.882615912817755,2.5508434496795314,999.9999999999999,139.18042245735833,1.206307790343867,0.5229748725939123,100
federalist_papers,Federalist Papers,192302,8617,0.19477513427832338,0.14810191244314308,0.1916277812723682,"sub[sub[x,1],log[x]]",0.11684528347840346,True,True,True,77,30,20.23254365705158,2.9999999999999205,37.541137662483166,22.336225764291765,2.462356888008499,999.9999999940263,77.01846941025158,1.4614791876149513,0.47939623227755135,100
grimms_fairy_tales,Grimm's Fairy Tales,102114,4746,0.1639896169456386,0.1486895352712712,0.16550485072433857,"eml[sub[x,1],eml[x,1]]",0.10823077911929448,True,True,True,48,24,9.64163178156641,0.9849745755724787,1.785547734069952,20.81850607115818,2.489348215204844,999.9999999999362,295.83274181692707,0.1850631979113796,0.672150694255268,100
don_quixote,Don Quixote,433304,15574,0.17475947545743248,0.15123078795952308,0.1763356841530791,"eml[sub[x,1],eml[x,1]]",0.1154443752679549,True,True,True,32,23,22.499027667372076,2.9999999999956177,76.61463507079402,20.016181957308984,2.099441035335141,999.9999999999999,164.02003328006995,1.2036752381655762,0.5283123761273466,100
pride_and_prejudice,Pride and Prejudice,128565,6729,0.16596695026783828,0.15410985257735013,0.16783926418160022,"eml[sub[x,1],eml[x,1]]",0.10951174030389708,True,True,True,93,23,23.234226064310604,2.999999999987626,140.40972684252887,20.282534146495024,2.330953191904248,999.999999999999,70.88572196207117,1.1423785184733684,0.4834333028261786,100
canterbury_tales,Canterbury Tales,281189,17653,0.1665283991638177,0.16384383546219397,0.1678242283162659,"eml[sub[x,1],eml[x,1]]",0.11193273998972732,True,True,True,97,17,22.26250179778743,2.9999999999615237,79.23313217104693,17.889617458535295,1.859138657280544,999.9999999999256,134.2119523589147,1.4897003175201895,0.5010318155557384,100
arabian_nights_vol1,Arabian Nights (Vol 1),176048,13883,0.18214133284804268,0.17946226682767316,0.18278688989650455,"eml[sub[x,1],eml[x,1]]",0.10636512363789612,True,True,True,64,53,21.636088632246466,2.999999999995555,68.03432845181095,17.881984493644254,1.9190334858636164,999.9999999999999,89.74620451986972,1.5827304063287007,0.47146021798641025,100
